Pos0x,Pos0y,Rot0,Pos1x,Pos1y,Rot1
-0.001023091,-1.247439,173.2965,0.0004073816,-1.975047,7.735273
-0.0008617261,-1.246259,0,0.001067002,-1.979913,7.726785
-0.0003661251,-1.245222,-0.03762817,0.001037847,-1.970399,7.712842
-0.0001707929,-1.248991,-0.03451538,0.001258148,-1.972013,7.709973
-0.000151853,-1.251472,-0.02516174,0.0009418438,-1.974345,7.721227
-0.0005425662,-1.243924,-0.03137207,-9.209576E-06,-1.981343,7.755007
-0.0003481438,-1.247683,-0.02819824,0.0008466033,-1.97829,7.729606
-0.0006053164,-1.246977,-0.01412964,0.0007222574,-1.972726,7.72407
-0.0003481438,-1.247683,-0.02819824,0.000502006,-1.971116,7.726968
-0.0006218207,-1.244504,-0.02351379,0.0009418438,-1.974345,7.721227
-0.0005087947,-1.248863,-0.01257324,0.0004073816,-1.975047,7.735273
-0.0001707929,-1.248991,-0.03451538,0.001258148,-1.972013,7.709973
-0.0004288263,-1.248274,-0.02038574,0.000502006,-1.971116,7.726968
0.0001863446,-1.251611,-0.04714966,0.0007222574,-1.972726,7.72407
-0.0003481438,-1.247683,-0.02819824,0.001037847,-1.970399,7.712842
-0.0006053164,-1.246977,-0.01412964,0.001605229,-1.979206,7.71271
-0.0002507613,-1.249581,-0.02670288,0.0007222574,-1.972726,7.72407
-0.0002507613,-1.249581,-0.02670288,0.0004073816,-1.975047,7.735273
-0.0005894772,-1.249453,-0.004760742,0.001478497,-1.973627,7.707101
8.662439E-05,-1.249713,-0.04866028,0.001258148,-1.972013,7.709973
-0.0005087947,-1.248863,-0.01257324,0.0009418438,-1.974345,7.721227
-0.0006053164,-1.246977,-0.01412964,0.0004073816,-1.975047,7.735273
-0.0007810436,-1.245669,-0.0078125,0.001162907,-1.975959,7.718353
-0.0002507613,-1.249581,-0.02670288,0.0008183097,-1.968785,7.715714
-0.0002696034,-1.247104,-0.03607178,-0.000228796,-1.979724,7.757853
-0.0003314438,-1.250171,-0.01887512,0.001384019,-1.977577,7.715508
-0.0002696034,-1.247104,-0.03607178,0.001037847,-1.970399,7.712842
-0.0008617261,-1.246259,0,0.0001857022,-1.973448,7.738222
