Pos0x,Pos0y,Rot0,Pos1x,Pos1y,Rot1,Timestamp
-0.002345821,-1.234098,173.3289,0.000502006,-1.971116,7.726968,1402071334
-0.001684529,-1.234355,0,0.001478497,-1.973627,7.707101,1402075850
-0.00143304,-1.235056,-0.01403809,0.001258148,-1.972013,7.709973,1402076038
-0.002187313,-1.232951,0.02810669,0.0005295855,-1.980626,7.740882,1402076280
-0.00143304,-1.235056,-0.01403809,0.000913746,-1.964859,7.707425,1402076451
-0.001684529,-1.234355,0,0.001037847,-1.970399,7.712842,1402076629
-0.001606703,-1.233788,-0.007919312,0.000913746,-1.964859,7.707425,1402076808
-0.002015224,-1.234223,0.0219574,0.001258148,-1.972013,7.709973,1402076981
-0.002029518,-1.231814,0.01226807,0.001037847,-1.970399,7.712842,1402077157
-0.001606703,-1.233788,-0.007919312,0.001258148,-1.972013,7.709973,1402077331
-0.002174447,-1.235375,0.03771973,0.001759367,-1.961825,7.682122,1402077508
-0.002200794,-1.230545,0.01838684,0.001132472,-1.966463,7.704508,1402077677
-0.001497042,-1.238057,0.003463745,0.001132472,-1.966463,7.704508,1402077849
-0.002029518,-1.231814,0.01226807,0.001098787,-1.989465,7.740907,1402078019
-0.001843752,-1.235507,0.01576233,0.001132472,-1.966463,7.704508,1402078197
-0.001923007,-1.236083,0.02365112,0.001793373,-1.971301,7.695873,1402078363
-0.001671517,-1.236784,0.009597778,0.002013771,-1.97292,7.69303,1402078537
-0.001606703,-1.233788,-0.007919312,0.001353437,-1.968068,7.701588,1402078714
-0.001590835,-1.236203,0.001739502,0.0008183097,-1.968785,7.715714,1402078878
-0.001950977,-1.231242,0.004379272,0.001258148,-1.972013,7.709973,1402079041
-0.001684529,-1.234355,0,0.001353437,-1.968068,7.701588,1402079211
-0.002093765,-1.234794,0.02986145,0.000626254,-1.976671,7.732453,1402079380
-0.001497042,-1.238057,0.003463745,0.0006002982,-1.96717,7.718579,1402079547
-0.001764498,-1.234931,0.007888794,0.0006002982,-1.96717,7.718579,1402079715
-0.001528162,-1.233217,-0.01582336,0.0003809076,-1.965571,7.721526,1402079893
-0.001671517,-1.236784,0.009597778,0.0008183097,-1.968785,7.715714,1402080068
-0.001684529,-1.234355,0,0.001227194,-1.962538,7.696219,1402080236
-0.001606703,-1.233788,-0.007919312,0.001700323,-1.975241,7.704232,1402080416
-0.002093765,-1.234794,0.02986145,0.001258148,-1.972013,7.709973,1402080584
-0.001339247,-1.23691,-0.0123291,0.0006002982,-1.96717,7.718579,1402080763
-0.001778889,-1.23251,-0.001739502,0.002199205,-1.965044,7.676336,1402080928
-0.001950977,-1.231242,0.004379272,0.001353437,-1.968068,7.701588,1402081105
-0.001857429,-1.233081,0.006149292,0.001321251,-1.958621,7.687982,1402081279
-0.001590835,-1.236203,0.001739502,0.0007222574,-1.972726,7.72407,1402081449
-0.001606703,-1.233788,-0.007919312,0.002235695,-1.974545,7.690208,1402081624
-0.001764498,-1.234931,0.007888794,0.001572309,-1.969687,7.698745,1402081801
-0.001671517,-1.236784,0.009597778,0.0006002982,-1.96717,7.718579,1402081976
-0.001528162,-1.233217,-0.01582336,0.002107535,-1.968975,7.684645,1402082154
-0.001950977,-1.231242,0.004379272,0.001037847,-1.970399,7.712842,1402082321
-0.002280049,-1.231116,0.02629089,0.001037847,-1.970399,7.712842,1402082496
-0.001684529,-1.234355,0,0.002419554,-1.966658,7.673466,1402082672
-0.001590835,-1.236203,0.001739502,0.001227194,-1.962538,7.696219,1402082844
-0.002015224,-1.234223,0.0219574,0.001887185,-1.96736,7.687516,1402083017
-0.001512294,-1.235632,-0.006164551,0.002419554,-1.966658,7.673466,1402083192
-0.001671517,-1.236784,0.009597778,0.002013771,-1.97292,7.69303,1402083361
-0.001843752,-1.235507,0.01576233,0.0006002982,-1.96717,7.718579,1402083537
-0.002518526,-1.232835,0.04998779,0.0003809076,-1.965571,7.721526,1402083713
-0.001923007,-1.236083,0.02365112,0.0006002982,-1.96717,7.718579,1402083879
-0.001418502,-1.237486,-0.004455566,0.001258148,-1.972013,7.709973,1402084042
-0.002015224,-1.234223,0.0219574,0.0007919826,-1.959323,7.702027,1402084215
-0.001857429,-1.233081,0.006149292,0.001887185,-1.96736,7.687516,1402084392
-0.001671517,-1.236784,0.009597778,0.001887185,-1.96736,7.687516,1402084569
-0.001418502,-1.237486,-0.004455566,0.001162907,-1.975959,7.718353,1402084742
-0.002108058,-1.232379,0.02018738,0.002327219,-1.970599,7.681827,1402084913
-0.001590835,-1.236203,0.001739502,0.0008183097,-1.968785,7.715714,1402085089
-0.002265853,-1.233522,0.03599548,0.001572309,-1.969687,7.698745,1402085266
-0.001923007,-1.236083,0.02365112,0.000913746,-1.964859,7.707425,1402085438
-0.001512294,-1.235632,-0.006164551,0.001353437,-1.968068,7.701588,1402085619
-0.001497042,-1.238057,0.003463745,0.001037847,-1.970399,7.712842,1402085793
-0.002015224,-1.234223,0.0219574,0.001666171,-1.965751,7.690408,1402085969
-0.001606703,-1.233788,-0.007919312,0.001572309,-1.969687,7.698745,1402086135
-0.001923007,-1.236083,0.02365112,0.001887185,-1.96736,7.687516,1402086315
-0.001684529,-1.234355,0,0.001132472,-1.966463,7.704508,1402086479
-0.001873151,-1.230681,-0.003570557,0.001887185,-1.96736,7.687516,1402086643
-0.001764498,-1.234931,0.007888794,0.001478497,-1.973627,7.707101,1402086824
-0.002093765,-1.234794,0.02986145,0.001540642,-1.960221,7.685037,1402086999
-0.001182167,-1.235768,-0.02813721,0.002419554,-1.966658,7.673466,1402087166
-0.001764498,-1.234931,0.007888794,0.001037847,-1.970399,7.712842,1402087339
-0.001671517,-1.236784,0.009597778,0.0007222574,-1.972726,7.72407,1402087515
-0.001701777,-1.231954,-0.009719849,0.002199205,-1.965044,7.676336,1402087693
-0.002029518,-1.231814,0.01226807,0.001666171,-1.965751,7.690408,1402087870
-0.001857429,-1.233081,0.006149292,0.001227194,-1.962538,7.696219,1402088040
-0.001512294,-1.235632,-0.006164551,-3.230935E-05,-1.971834,7.74109,1402088215
-0.002015224,-1.234223,0.0219574,0.001353437,-1.968068,7.701588,1402088390
-0.001590835,-1.236203,0.001739502,0.001258148,-1.972013,7.709973,1402088566
-0.001684529,-1.234355,0,0.001478497,-1.973627,7.707101,1402088743
