Pos0x,Pos0y,Rot0,Pos1x,Pos1y,Rot1
0.005476334,-1.532301,173.4587,-0.006237115,-1.579065,7.564065
0.005338531,-1.533375,0,-0.006132157,-1.576059,7.56024
0.004049215,-1.521492,0.04664612,-0.005386736,-1.570432,7.533094
0.004086588,-1.517583,0.04415894,-0.005882255,-1.574176,7.551156
0.004283976,-1.523293,0.03794861,-0.005243221,-1.571562,7.527861
0.003874137,-1.526482,0.05461121,-0.005634496,-1.572304,7.542126
0.004347522,-1.530089,0.03720093,-0.005490981,-1.573434,7.536892
0.004110424,-1.528282,0.0459137,-0.00573874,-1.575305,7.545923
0.004049215,-1.521492,0.04664612,-0.006132157,-1.576059,7.56024
0.004895163,-1.52582,0.01509094,-0.005490981,-1.573434,7.536892
0.004860324,-1.529757,0.01745605,-0.005634496,-1.572304,7.542126
0.00550817,-1.52837,-0.007888794,-0.005386736,-1.570432,7.533094
0.004758074,-1.526889,0.02061462,-0.005346654,-1.574568,7.531689
0.004486039,-1.529015,0.03170776,-0.005490981,-1.573434,7.536892
0.004860324,-1.529757,0.01745605,-0.005201564,-1.575702,7.526482
0.004210433,-1.531157,0.04272461,-0.005386736,-1.570432,7.533094
0.005372509,-1.529433,-0.002349854,-0.005449324,-1.577574,7.535513
0.004148315,-1.524351,0.04353333,-0.005510708,-1.584764,7.538173
0.004622414,-1.527952,0.02616882,-0.005068944,-1.588206,7.522742
0.004584718,-1.531905,0.02844238,-0.005363995,-1.58591,7.53302
0.005031538,-1.524758,0.009536743,-0.005216469,-1.587054,7.527869
0.004622414,-1.527952,0.02616882,-0.005363995,-1.58591,7.53302
0.005304699,-1.53734,0.002212524,-0.005011619,-1.580987,7.519952
0.005338531,-1.533375,0,-0.005822218,-1.593898,7.550204
0.004860324,-1.529757,0.01745605,-0.005227911,-1.598545,7.529914
0.004248227,-1.527208,0.04043579,-0.004572771,-1.619238,7.512302
0.004384601,-1.526151,0.03485107,-0.004813341,-1.645051,7.530071
0.00452169,-1.525082,0.02932739,-0.004915013,-1.648254,7.534845
0.004996698,-1.528689,0.01193237,-0.004813341,-1.645051,7.530071
0.004384601,-1.526151,0.03485107,-0.00523213,-1.645789,7.544305
0.005201442,-1.534449,0.005493164,-0.004813341,-1.645051,7.530071
0.005166485,-1.5237,0.003967285,-0.003270261,-1.653001,7.483018
0.005031538,-1.524758,0.009536743,-0.001777066,-1.692598,7.460549
0.005031538,-1.524758,0.009536743,0.002296795,-1.731531,7.370907
