Pos0x,Pos0y,Rot0,Pos1x,Pos1y,Rot1
-0.2224545,-1.670774,178.8906,0.06938107,-0.9762613,4.05896
-0.2224545,-1.670774,0,0.06938107,-0.9762613,4.05896
-0.2228983,-1.673722,-0.003753662,0.06921729,-0.9756696,4.066729
-0.2215215,-1.666135,0.00151062,0.06927013,-0.974926,4.063163
-0.2210367,-1.66445,-0.000793457,0.06951921,-0.9772275,4.05298
-0.2234334,-1.674173,0.004425049,0.06976376,-0.976699,4.03984
-0.2229902,-1.671233,0.008163452,0.06921729,-0.9756696,4.066729
-0.2229436,-1.672471,0.002227783,0.06954562,-0.9768575,4.051206
-0.2224545,-1.670774,0,0.06971093,-0.9774448,4.043417
-0.2211276,-1.661982,0.0110321,0.06938107,-0.9762613,4.05896
-0.2228515,-1.674968,-0.009719849,0.06940821,-0.975886,4.05716
-0.2234334,-1.674173,0.004425049,0.06919087,-0.9760401,4.068505
-0.2220106,-1.667834,0.003723145,0.06938107,-0.9762613,4.05896
-0.2228983,-1.673722,-0.003753662,0.06954562,-0.9768575,4.051206
-0.2215688,-1.664904,0.007400513,0.06949279,-0.9776044,4.054787
-0.2209462,-1.666931,-0.01266479,0.06954562,-0.9768575,4.051206
-0.2229902,-1.671233,0.008163452,0.06938107,-0.9762613,4.05896
-0.223924,-1.675875,0.006622314,0.06938107,-0.9762613,4.05896
-0.2234807,-1.672935,0.01036072,0.06916446,-0.9764136,4.070296
-0.2228983,-1.673722,-0.003753662,0.06940821,-0.975886,4.05716
-0.2228983,-1.673722,-0.003753662,0.06900073,-0.9758261,4.078092
-0.2235709,-1.670451,0.02224731,0.06940821,-0.975886,4.05716
-0.2219654,-1.669076,-0.002227783,0.06938107,-0.9762613,4.05896
-0.2228983,-1.673722,-0.003753662,0.06954562,-0.9768575,4.051206
-0.2219201,-1.67032,-0.008178711,0.06968381,-0.9778309,4.045267
-0.2229436,-1.672471,0.002227783,0.06938107,-0.9762613,4.05896
-0.2229902,-1.671233,0.008163452,0.06938107,-0.9762613,4.05896
-0.2220106,-1.667834,0.003723145,0.06921729,-0.9756696,4.066729
-0.2224997,-1.669532,0.005950928,0.06900073,-0.9758261,4.078092
-0.2219201,-1.67032,-0.008178711,0.06935538,-0.9766313,4.060735
-0.2229436,-1.672471,0.002227783,0.06919087,-0.9760401,4.068505
-0.2228983,-1.673722,-0.003753662,0.06959846,-0.9761068,4.047606
-0.2219201,-1.67032,-0.008178711,0.06949279,-0.9776044,4.054787
-0.2229902,-1.671233,0.008163452,0.06951921,-0.9772275,4.05298
-0.2229436,-1.672471,0.002227783,0.06943463,-0.9755141,4.055377
-0.2215215,-1.666135,0.00151062,0.06940821,-0.975886,4.05716
-0.2239705,-1.674632,0.0125885,0.06951921,-0.9772275,4.05298
-0.2230339,-1.669988,0.01411438,0.06921729,-0.9756696,4.066729
-0.2230339,-1.669988,0.01411438,0.06902786,-0.975448,4.07628
-0.2228053,-1.676217,-0.01570129,0.06951921,-0.9772275,4.05298
-0.2219201,-1.67032,-0.008178711,0.06919087,-0.9760401,4.068505
-0.2224997,-1.669532,0.005950928,0.06930111,-0.9773936,4.064389
-0.2228983,-1.673722,-0.003753662,0.06932824,-0.9770129,4.062564
-0.2209462,-1.666931,-0.01266479,0.06902786,-0.975448,4.07628
-0.2234807,-1.672935,0.01036072,0.06935538,-0.9766313,4.060735
-0.2234807,-1.672935,0.01036072,0.06935538,-0.9766313,4.060735
-0.2218726,-1.671562,-0.01411438,0.06919087,-0.9760401,4.068505
-0.2228515,-1.674968,-0.009719849,0.06954562,-0.9768575,4.051206
-0.2229436,-1.672471,0.002227783,0.06959846,-0.9761068,4.047606
-0.2209915,-1.665687,-0.006698608,0.06938107,-0.9762613,4.05896
-0.2219654,-1.669076,-0.002227783,0.06919087,-0.9760401,4.068505
-0.2225463,-1.668295,0.01185608,0.06954562,-0.9768575,4.051206
-0.2224545,-1.670774,0,0.06957275,-0.9764785,4.049388
